ID,TITOLO,DATA,COD.ISTAT COMUNE,COMUNE,PROVINCIA,DESCRIZIONE,CATEGORIA
509,Cancelleria e libri in arrivo,2013-12-17 14:53:00,92009,Cagliari,Cagliari,"Stanno per arrivare al porto di Cagliari 17 scatole contenenti libri e cancelleria (raccolti a vicino a Pordenone, nei giorni scorsi). Avrei bisogno di contattare biblioteche e scuole delle zone colpite dall'alluvione del 18 Novembre 2013 per distribuire il materiale dove serve. 
Grazie
",2.1 Raccolta beni::2.6 Altro utile ai soccorsi::8. CERCASI VOLONTARI
507,News dal centro di Raccolta Unico Olbia,2013-12-01 19:10:00,104017,Olbia,Olbia-Tempio,"COMUNICATO STAMPA

Centro di raccolta unico - Beni Mancanti

Il Centro di Raccolta Unico istituito dal Comune di Olbia per razionalizzare la raccolta e consegna dei beni di prima necessità da distribuire alla popolazione colpita dall'alluvione, comunica che sono in esaurimento le seguenti categorie di beni:

- olio

- carne e tonno in scatola

- caffè

- zucchero

- alimenti per colazione (merendine e biscotti)

- legumi in scatola

Si invitano pertanto tutti coloro i quali intendessero effettuare donazioni di alimentari di voler preferire i prodotti sopraelencati.

Contemporaneamente, si invita a voler sospendere, i conferimenti di acqua e pasta.",2.1 Raccolta beni::2.4 Cibo e pasti::6. NOTIZIE
505,L'Onestà. Trova 1000 euro nel giubbotto che le è stato donato e li restituisce.,2013-11-28 14:22:00,104017,Olbia,Olbia-Tempio,"Una lezione di onestà nonostante il momento di estremo bisogno. Ad impartirla, ieri mattina, una donna olbiese di 55 anni, la cui abitazione è stata completamente devastata dall'alluvione. Era andata in un centro di smistamento di abiti e derrate alimentari allestito nella zona industriale. Aveva misurato qualche giacca e dei giubbotti, sino a quando non ha trovato il capo della sua misura, l'ha infilato in una busta e, dopo aver ringraziato, è andata via.
A casa, nel riprovare il giubbotto ha messo le mani in tasca trovando 1180 euro in banconote di piccolo e medio taglio. «Non possiamo tenerli - ha detto alla figlia - non sono nostri. Chi ci ha regalato questa giacca non lo merita: è stato generoso e non possiamo ricompensarlo prendendoci i suoi soldi». Così la donna si è presentata nella caserma dei carabinieri per raccontare la cosa e restituire il denaro. Un gesto meraviglioso, e non poteva essere altrimenti in una città che sta mostrando sensibilità e disponibilità encomiabili dopo la tragedia di dieci giorni fa. I militari, che con i soldi hanno recuperato qualche scontrino, stanno cercando ora di rintracciare il proprietario del giubbotto.",9.STORIE
504,SOSTEGNO PSICOLOGICO GRATUITO,2013-11-27 21:01:00,104017,Olbia,Olbia-Tempio,"Sono psicologa-psicoterapeuta. Offro un ciclo di sostegno psicologico gratuito ai residenti dei centri colpiti dall'alluvione, con precedenza ai casi di comprovata gravità legate alla situazione contingente.",2.9 Professionalità
501,Elettricisti - Olbia,2013-11-26 21:39:00,104017,Olbia,Olbia-Tempio,aiuto elettrico post alluvione,2.9 Professionalità
500,Tortolì - raccolta beni di prima necessità,2013-11-26 14:09:00,105018,Tortolì,Ogliastra,"L'amministrazione Comunale Organizza una raccolta di beni di prima necessità da destinare agli sfollati dei paesi colpiti dal nubifragio

L’AMMINISTRAZIONE COMUNALE
ORGANIZZA


UNA RACCOLTA DI GENERI DI PRIMA NECESSITÀ DA DESTINARE AGLI SFOLLATI DEI PAESI COLPITI DAL NUBIFRAGIO. SI CERCANO ANCHE PERSONE DISPOSTE
A COLLABORARE SIA PER LA RACCOLTA CHE PER IL TRASPORTO.
PER INFORMAZIONI O PER COLLABORARE CONTATTARE L’INDIRIZZO E- MAIL PROTEZIONECIVILE@COMUNEDITORTOLI.IT O CONTATTARCI NELLA PAGINA
FACEBOOK AMMINISTRAZIONE COMUNALE TORTOLI’.
DA LUNEDI’ 25 NOVEMBRE COMUNICHEREMMO I LOCALI DOVE CONFERIRE.
 

COSA OCCORRE
1. STIVALI IN GOMMA
2. CIBO PER CILIACI
3. VIVERI A LUNGA CONSERVAZIONE (PASTA, SCATOLETTE, LATTE IN POLVERE, SUGO, ETC.)
4. PRODOTTI IGIENE INTIMA
5. DETERSIVI PER PULIZIA CASA E VESTIARIO (STRACCI, SCOPE, SECCHI, GUANTI, ETC.)
6. PER I BAMBINI: CIBI A LUNGA CONSERVAZIONE, PANNOLINI E TUTTO CIÒ CHE POTREBBE RENDE MENO TRAUMATICO IL TRASCORRERE DI QUESTI GIORNI
(GIOCATTOLI DI PICCOLE DIMENSIONI, CARTA, MATITE, COLORI).
 

IMPORTANTISSIMO: SERVONO BENI IN BUONE CONDIZIONI",2.1 Raccolta beni
499,CAMION CARICO DI FORAGGIO - per il Nuorese,2013-11-26 09:03:00,28060,Padova,Padova,hanno comunicato tramite il Circolo ...a  Padova che c'è disponibile un camion di foraggio donato per il NUORESE. Stiamo cercando delle persone che dalla Sardegna possano salire a prenderlo...,2.7 Raccolta Beni fuori dalla Sardegna::2.10 Aiuti per animali
498,Acqua non potabile SANLURI,2013-11-25 16:05:00,106015,Sanluri,Medio Campidano,"Si comunica che a seguito di comunicazione in data odierna dell’Ente Gestore ABBANOA, nella quale si rende noto che a causa dei recenti eventi meteorologici l’acqua in uscita dal potabilizzatore di Santu Miali non è conforme ai requisiti imposti da D.Lgs 31/2001, in via cautelativa, non avendo al momento dati analitici certi, si esprime il giudizio sanitario di acqua non idonea al consumo umano  l’acqua non può essere utilizzata come bevanda o essere incorporata negli alimenti  può essere utilizzata per l’igiene personale e della casa.
Sono in corso accertamenti analitici di cui Vi daremo immediata comunicazione",1.4 DANNI RETE IDRICA::6. NOTIZIE
497,Interventi impianti elettrici ed idraulici effetuati.,2013-11-25 15:44:00,104017,Olbia,Olbia-Tempio,"Battuta tutta l'area segnalata, per interventi su impianti elettrici, idraulici e gas.
Situazione dell'area Buona, a spanne 80% abitazioni con impianti funzionanti.
Puo esserci ancora qualche caso isolato perchè le case sono chiuse o senza proprietari.

Non siamo intervenuti su elettrodomenstici.",6. NOTIZIE
496,Interventi impianti elettrici ed idraulici effetuati,2013-11-24 17:00:00,104017,Olbia,Olbia-Tempio,"Battuta tutta l'area segnalata, per interventi su impianti elettrici, idraulici e gas.
Situazione dell'area Buona, a spanne 80% abitazioni con impianti funzionanti.
Puo esserci ancora qualche caso isolato perchè le case sono chiuse o senza proprietari.

Non siamo intervenuti su elettrodomenstici.
",6. NOTIZIE
495,DIVIETO USO ACQUA RETE IDRICA Siamaggiore,2013-11-25 14:22:00,95056,Siamaggiore,Oristano,"A SEGUITO DI ANALISI SI SONO RISCONTRATI VALORI NON CONFORMI CHE PREGIUDICANO LA POTABILITA' DELL'ACQUA.
PERTANTO E' VIETATO L'UTILIZZO DELL'ACQUA  DELLA RETE IDRICA PER USI ALIMENTARI, SE NON PREVIA BOLLITURA, MENTRE E CONSENTITO L'UTILIZZO PER USI IGIENICI.",1.4 DANNI RETE IDRICA::6. NOTIZIE
